items_edmPreview,items_id,items_type,items_title,items_edmTimespanLabelLangAware_def,items_dcCreator,items_dataProvider,items_country
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8822953z.thumbnail.jpg&size=LARGE&type=SOUND,/9200516/ark__12148_bpt6k8822953z,SOUND,"Unforgettable songs by Nat ""King"" Cole",1954,"Cole, Nat King (1917-1965). Chant http://data.europeana.eu/agent/base/61519",Bibliothèque nationale de France,france
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8821642t.thumbnail.jpg&size=LARGE&type=SOUND,/9200516/ark__12148_bpt6k8821642t,SOUND,"MONA LISA / LIVINGSTON et EVANS. ONLY SIXTEEN / CAMPBELL. LEROY / SCOTT. SECRETLY / HOFFMAN, MANNING et MARKWELL ; THE FOUR COMETS",1960,,Bibliothèque nationale de France,france
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k88212945.thumbnail.jpg&size=LARGE&type=SOUND,/9200516/ark__12148_bpt6k88212945,SOUND,LES TROIS CLOCHES (slow rock) / VILLARD. ARGENTINA SERENADE (bounce bolero) / MERY & STANI. MONA LISA (slow rock) / LIVINGSTONE & EVANS. NAMENLOS (du film Das Totenschiff) (valse) / KOVAC ; ZACHARIAS et ses violons enchantés,1960,,Bibliothèque nationale de France,france
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8815744z.thumbnail.jpg&size=LARGE&type=SOUND,/9200516/ark__12148_bpt6k8815744z,SOUND,Bal musette / Will Glahe and his orchestra,1952,"Glahé, Will (1902-1989). Direction d'orchestre http://data.europeana.eu/agent/base/54457",Bibliothèque nationale de France,france
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k88146160.thumbnail.jpg&size=LARGE&type=SOUND,/9200516/ark__12148_bpt6k88146160,SOUND,"GUITAR DE AMOR / Bob Bain, à la guitare",1961,"Terry, Ann. Auteur ou responsable intellectuel Schertzinger, Victor (1890-1941). Auteur ou responsable intellectuel Roubanis, Nicholas. Auteur ou responsable intellectuel Prado, Miguel. Auteur ou responsable intellectuel Ponce, Manuel María (1882-1948). Auteur ou responsable intellectuel Parker, S.. Auteur ou responsable intellectuel O'Flynn, Ch.. Auteur ou responsable intellectuel Madriguera, Enric (1904-1973). Auteur ou responsable intellectuel Luna, Gabriel. Auteur ou responsable intellectuel Lombardo, Carmen (1903-1971). Auteur ou responsable intellectuel Lecuona, Marguerite. Auteur ou responsable intellectuel Lecuona, Ernesto (1896-1963). Auteur ou responsable intellectuel Hayman, Richard (1920-2014). Auteur ou responsable intellectuel Farrés, Osvaldo (1902-1985). Auteur ou responsable intellectuel Davis, Joe. Auteur ou responsable intellectuel Daniels, Lee. Auteur ou responsable intellectuel Barroso, Ari (1903-1964). Auteur ou responsable intellectuel Bain, Bob (1924-....). Auteur ou responsable intellectuel Bain, Bob (1924-....). Guitare http://data.europeana.eu/agent/base/165025 http://data.europeana.eu/agent/base/150874 http://data.europeana.eu/agent/base/153484",Bibliothèque nationale de France,france
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8813869h.thumbnail.jpg&size=LARGE&type=SOUND,/9200516/ark__12148_bpt6k8813869h,SOUND,BILL BLACK'S COMBO SOLID AND RAUNCHY / Bill BLACK'S COMBO,1960,"Williams, Curley. Auteur ou responsable intellectuel Weill, Kurt (1900-1950). Auteur ou responsable intellectuel Stock, Larry (1896-1984). Auteur ou responsable intellectuel Shepherd, S.. Auteur ou responsable intellectuel Scott, Clifford (1928-1993). Auteur ou responsable intellectuel Rose, Vincent. Auteur ou responsable intellectuel Rio, Chuck (1929-2006). Auteur ou responsable intellectuel Presley, Elvis (1935-1977). Auteur ou responsable intellectuel Manker, J.. Auteur ou responsable intellectuel Mac Daniels, Ellis. Auteur ou responsable intellectuel Louiguy (1916-1991). Auteur ou responsable intellectuel Lewis, Al.. Auteur ou responsable intellectuel Justis, William. Auteur ou responsable intellectuel Hunter, Ivory Joe (1914-1974). Auteur ou responsable intellectuel Endsley, Melvin (1934-2004). Auteur ou responsable intellectuel Doggett, Bill (1916-1996). Auteur ou responsable intellectuel David, Mack (1912-1993). Auteur ou responsable intellectuel Brecht, Bertolt (1898-1956). Auteur du texte Blitzstein, Marc (1905-1964). Auteur du texte Blackwell, Otis (1931-2002). Auteur du texte The Bill Black's combo. Interprète http://data.europeana.eu/agent/base/147028 http://data.europeana.eu/agent/base/26418 http://data.europeana.eu/agent/base/146807 http://data.europeana.eu/agent/base/82018 http://data.europeana.eu/agent/base/77487 http://data.europeana.eu/agent/base/62745 http://data.europeana.eu/agent/base/118317 http://data.europeana.eu/agent/base/148468 http://data.europeana.eu/agent/base/64784",Bibliothèque nationale de France,france
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k88099258.thumbnail.jpg&size=LARGE&type=SOUND,/9200516/ark__12148_bpt6k88099258,SOUND,"SEULS CE SOIR / FERRANTE et TEICHER, pianos, orchestre et choeurs",1963,Ferrante and Teicher. Groupe instrumental,Bibliothèque nationale de France,france
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8805370s.thumbnail.jpg&size=LARGE&type=SOUND,/9200516/ark__12148_bpt6k8805370s,SOUND,AIRS DE FILMS / Jack SHAINDLIN et son orchestre,1957,"Shaindlin, Jack. Direction d'orchestre",Bibliothèque nationale de France,france
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k88039596.thumbnail.jpg&size=LARGE&type=SOUND,/9200516/ark__12148_bpt6k88039596,SOUND,"SEULS CE SOIR / FERRANTE et TEICHER, pianos, orchestre et choeurs",1962,,Bibliothèque nationale de France,france
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8802961z.thumbnail.jpg&size=LARGE&type=SOUND,/9200516/ark__12148_bpt6k8802961z,SOUND,CANDLELIGHT SERENADE / ZACHARIAS and his Magic Violins,1960,"Zentirmay. Auteur ou responsable intellectuel Gilles (1895-1982). Auteur ou responsable intellectuel Osborne, Tony. Auteur ou responsable intellectuel Oldörp, Fred. Auteur ou responsable intellectuel Mery, Maurice. Auteur ou responsable intellectuel Kovac. Auteur ou responsable intellectuel Jobim, António Carlos (1927-1994). Auteur ou responsable intellectuel Dobschinski. Auteur ou responsable intellectuel Bonfá, Luiz (1922-2001). Auteur ou responsable intellectuel Zacharias, Helmut (1920-2002). Direction d'orchestre http://data.europeana.eu/agent/base/50280 http://data.europeana.eu/agent/base/64359",Bibliothèque nationale de France,france
