items_edmPreview,items_id,items_type,items_title,items_edmTimespanLabelLangAware_def,items_dcCreator,items_dataProvider,items_country
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages3.noterik.com%2Fdomain%2Feuscreenxl%2Fuser%2Feu_rtp%2Fvideo%2FEUS_B1F792BB888A704E5180AD9BEAA05033%2Fimage.jpg&size=LARGE&type=VIDEO,/2051938/data_euscreenXL_EUS_B1F792BB888A704E5180AD9BEAA05033,VIDEO,Divulgação da Arquitectura Promoting Arquitecture As Pedras e o Homem Clip title:  SERIES TITLE: Stones and Man Season:1 Episode:1,1973,,RTP,portugal
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages3.noterik.com%2Fdomain%2Feuscreenxl%2Fuser%2Feu_rte%2Fvideo%2FEUS_2C797A617EDB05DA67759D44B125535C%2Fshots%2F1%2Fh%2F0%2Fm%2F0%2Fsec30.jpg&size=LARGE&type=VIDEO,/2051925/data_euscreenXL_EUS_2C797A617EDB05DA67759D44B125535C,VIDEO,Neil Jordan Plays Guitar Clip title: Neil Jordan Plays Guitar in Opening Sequence SERIES TITLE: Anthology Anthology,1970,,RTÉ,ireland
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F184%2F475%2F5%2F9e5e93f8d8d49400074ce5a520d41d7c%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,/2051911/data_euscreenXL_1844755,VIDEO,Qui est vraiment Mona Lisa ?,2013,,RTBF,belgium
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F184%2F472%2F8%2Fe3744ecd0926f37929b0333ffc2eb23f%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,/2051911/data_euscreenXL_1844728,VIDEO,Qui est vraiment Mona Lisa ?,2013,,RTBF,belgium
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F160%2F503%2F3%2F63f12ee0d64223de4dc1cf598ae0622b%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,/2051911/data_euscreenXL_1605033,VIDEO,Une copie de la Joconde à Madrid - Mona Lisa plus jeune et plus souriante: une toile de Léonard de Vinci a été découverte dans les réserves du Prado.,2012,,RTBF,belgium
,/2059210/data_sounds_whybirds2012_02_03_cmc2,SOUND,The Whybirds Live at Danny's Bar on 2012-02-03 2012-02-03 - Danny's Bar 2012-02-03 - Danny's Bar,2012,The Whybirds,Internet Archive,netherlands
,/2059210/data_sounds_whybirds2010_07_16_cmc2,SOUND,The Whybirds Live at The Troubadour on 2010-07-16 2010-07-16 - The Troubadour,2010,The Whybirds,Internet Archive,netherlands
,/2059210/data_sounds_whybirds2010_01_31_cmc2,SOUND,The Whybirds Live at The Barfly on 2010-01-31 2010-01-31 - The Barfly,2010,The Whybirds,Internet Archive,netherlands
,/2059210/data_sounds_whybirds2009_11_07_cmc2,SOUND,The Whybirds Live at The Garage on 2009-11-07 2009-11-07 The Garage,2009,The Whybirds,Internet Archive,netherlands
,/2059210/data_sounds_whybirds2009_07_25_at933,SOUND,The Whybirds Live at Water Rats on 2009-07-25 2009-07-25 - Water Rats,2009,The Whybirds,Internet Archive,netherlands
,/2059210/data_sounds_whybirds2009_02_19_at933_flac16,SOUND,The Whybirds Live at South Of The Border on 2009-02-19 2009-02-19 - South Of The Border,2009,The Whybirds,Internet Archive,netherlands
,/2059210/data_sounds_mh2010_04_10_matrix,SOUND,Mother Hips Live at The Coach House on 2010-04-10 2010-04-10 - The Coach House 2010-04-10 - The Coach House,2010,Mother Hips,Internet Archive,netherlands
,/2059210/data_sounds_guster2011_11_25_km201_flac24,SOUND,Guster Live at Wellmont Theatre on 2011-11-25 2011-11-25 - Wellmont Theatre,2011,Guster http://data.europeana.eu/agent/base/148438,Internet Archive,netherlands
,/2059210/data_sounds_guster2007_10_05_flac16,SOUND,"Guster Live at University of Rochester on 2007-10-05 2007-10-05 University of Rochester Rochester, NY",2007,Guster http://data.europeana.eu/agent/base/148438,Internet Archive,netherlands
,/2059210/data_sounds_guster2000_07_02_shnf,SOUND,Guster Live at Viv's House on 2000-07-02 2000-07-02 - Viv's House 2000-07-02 - Viv's House,2000,Guster http://data.europeana.eu/agent/base/148438,Internet Archive,netherlands
,/2059210/data_sounds_guster1997_12_08_flac16,SOUND,Guster Live at College of the Holy Cross on 1997-12-08 1997-12-08 - College of the Holy Cross 1997-12-08 - College of the Holy Cross,1997,Guster http://data.europeana.eu/agent/base/148438,Internet Archive,netherlands
,/2059210/data_sounds_gus2003_03_27_c1000_shnf,SOUND,Guster Live at Clutch Cargo's on 2003-03-27 2003-03-27 - Clutch Cargo's,2003,Guster http://data.europeana.eu/agent/base/148438,Internet Archive,netherlands
,/2059210/data_sounds_gus2002_12_05_at853_shnf,SOUND,Guster Live at Orpheum Theatre on 2002-12-05 2002-12-05 - Orpheum Theatre 2002-12-05 - Orpheum Theatre,2002,Guster http://data.europeana.eu/agent/base/148438,Internet Archive,netherlands
,/2059210/data_sounds_gus1997_10_04_shnf,SOUND,Guster Live at Princeton University on 1997-10-04 1997-10-04 - Princeton University 1997-10-04 - Princeton University,1997,Guster http://data.europeana.eu/agent/base/148438,Internet Archive,netherlands
,/2059210/data_sounds_greenstreet2002_11_22_shnf,SOUND,Greenstreet Live at Stadium on 2002-11-22 2002-11-22 - Stadium 2002-11-22 - Stadium,2002,Greenstreet,Internet Archive,netherlands
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.doiserbia.nb.rs%2Fimages%2Fdoi%2F00485705_0.jpg&size=LARGE&type=TEXT,/92040/BibliographicResource_3000135740219,TEXT,The Mona Lisa effect: Testing the limits of perceptual robustness vis-à-vis slanted images,2014,Hecht Heiko Boyarskaya Evgenia Kitaoka Akiyoshi,National Library of Serbia,serbia
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Frevistas.ucm.es%2Fpublic%2Fjournals%2F52%2FhomepageImage_es_ES.jpg&size=LARGE&type=TEXT,/9200102/BibliographicResource_3000095842655,TEXT,"Pablo Picasso, ladrón de arte: “el caso de las estatuillas” y su papel en la fundación de la pintura moderna",2014,"Charney, Noah",Complutense University Library of Madrid,spain
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fathena.muo.hr%2Fapi%2F%3Fsemantic%3Drepresentation%26id%3D4630&size=LARGE&type=IMAGE,/2048053/MUO_020830,IMAGE,MEĐUNARODNI DAN MUZEJA,1987,"Falout, Nada","Muzej za umjetnost i obrt, Zagreb",croatia
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.mediathek.at%2Ftype%2Fapiimage%2Fatom%2F14C2D120-29D-002AA-00000E80-14C1C0B9&size=LARGE&type=SOUND,/00902/14C2D120_29D_002AA_00000E80_14C1C0B9,SOUND,Ich hab mich so an dich gewöhnt - La vie en rose - In der Cafeteria von Milano - Das machen nur die Beine von Dolores - Mona Lisa - Eine weiße Hochzeitskutsche - C'est si bon - Auf Wiedersehn,1951,,Österreichische Mediathek,austria
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fstudiezaal.nijmegen.nl%2FHttpHandler%2Ficoon.ico%3Ficoonfromxmlbeschr%3D14521128&size=LARGE&type=IMAGE,/2021651/ran__detail_aspx_xmldescid_14521128,IMAGE,Etiket Mona Lisa Toiletries,1968,,Regionaal Archief Nijmegen,netherlands
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fstudiezaal.nijmegen.nl%2FHttpHandler%2Ficoon.ico%3Ficoonfromxmlbeschr%3D14296690&size=LARGE&type=IMAGE,/2021651/ran__detail_aspx_xmldescid_14296690,IMAGE,Wikkel Savon Mona Lisa,1919,,Regionaal Archief Nijmegen,netherlands
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fstudiezaal.nijmegen.nl%2FHttpHandler%2Ficoon.ico%3Ficoonfromxmlbeschr%3D14291897&size=LARGE&type=IMAGE,/2021651/ran__detail_aspx_xmldescid_14291897,IMAGE,Wikkel  Castella Mona Lisa,1968,,Regionaal Archief Nijmegen,netherlands
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.collectiedeventermusea.nl%2Fwwwwopacx%2Fwwwopac.ashx%3Fcommand%3Dgetcontent%26server%3Dimages%26value%3Dgemeente%2520B%255CG0692.jpg&size=LARGE&type=IMAGE,/2021659/G0692,IMAGE,Mona Lisa '75 ,1975,"Groote Willink, Gerrit Jan (1946)",Deventer Musea,netherlands
,/9200111/BibliographicResource_1000085966910,TEXT,Mona Lisa ler inte en undersökning av gymnasial historieundervisnings fokus,2008,"Danielsson Malin , Högskolan Kristianstad, Enheten för lärarutbildning Hult Skoog Ida , Högskolan Kristianstad, Enheten för lärarutbildning",Uppsala University,sweden
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdigital.ub.uni-duesseldorf.de%2Fdownload%2Fwebcache%2F1000%2F170346&size=LARGE&type=TEXT,/09428/urn_nbn_de_hbz_061_1_4239,TEXT,Das Lächeln der Mona Lisa / Kurt Tucholsky,1929,,Universitäts- und Landesbibliothek Düsseldorf,germany
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdigital.wlb-stuttgart.de%2Ffilegroups%2Fschimona_327020385%2Fdefault%2F00000001.jpg&size=LARGE&type=TEXT,/09428/urn_nbn_de_bsz_24_digibib_bsz3270203857,TEXT,Mona Lisa : Oper in zwei Akten; op. 31,1915,"Dovsky, Beatrice",Württembergische Landesbibliothek Stuttgart,germany
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fvitruvio.imss.fi.it%2Ffoto%2Fisd%2Fav%2Fca_0864r_300.jpg&size=LARGE&type=IMAGE,/02302/urn_imss_image_034753,IMAGE,"Codex Atlanticus, 864r. - An eye resembling that of the Mona Lisa and a study for the Medicean quarter in Florence: ""balls (Palazzo Medici), (San) Giovannino"", c. 1515. Codice Atlantico, 864r. - Un occhio simile a quello della Gioconda e studio per il quartiere mediceo in Firenze: ""palle (Palazzo Medici), (San) Giovannino"", c. 1515.",2008,,Museo Galileo - Istituto e Museo di Storia della Scienza,italy
